batch,config,slots,decode_tok_s,total_tok_s,pct_of_baseline,overflow,correct,status
1,resident,0,27.11,27.08,100.0,0,1,ok
2,resident,0,54.63,54.59,100.0,0,1,ok
4,resident,0,108.06,107.2,100.0,0,1,ok
8,resident,0,221.51,219.35,100.0,0,1,ok
1,slots,16,13.9,13.87,51.3,1,1,ok
2,slots,16,19.53,19.46,35.7,1,1,ok
4,slots,16,26.91,26.89,24.9,1,0,ok
8,slots,16,60.35,60.22,27.2,1,0,ok
1,slots,32,17.29,17.32,63.8,1,1,ok
2,slots,32,26.98,27.0,49.4,1,1,ok
4,slots,32,33.29,33.28,30.8,1,1,ok
8,slots,32,40.09,40.19,18.1,1,0,ok
1,slots,48,20.79,20.81,76.7,0,1,ok
2,slots,48,35.99,36.05,65.9,0,1,ok
4,slots,48,55.04,54.94,50.9,0,1,ok
8,slots,48,72.36,72.33,32.7,0,1,ok
1,slots,64,23.17,23.17,85.5,0,1,ok
2,slots,64,48.01,47.63,87.9,0,1,ok
4,slots,64,94.08,93.28,87.1,0,1,ok
8,slots,64,186.58,185.16,84.2,0,1,ok
