experiment,bench,successful_requests,output_tok_s,mean_ttft_ms,mean_tpot_ms,median_tpot_ms
results_abattr,bench_fixed_r1,64,48.49,8342.41,266.28,266.48
results_abattr,bench_fixed_r2,64,56.10,5929.05,240.20,239.60
results_abattr,bench_prefix_r1,64,51.08,6867.03,261.06,257.10
results_abattr,bench_prefix_r2,64,44.58,8060.24,297.65,294.99
results_dpv4_4g,bench_lc_s16_c4,16,15.44,8880.04,225.08,224.68
results_dpv4_4g,bench_lc_s16_c8,24,24.81,8294.10,290.69,287.30
results_dpv4_4g,bench_lc_s22_c4,16,16.82,9624.03,200.69,197.64
results_dpv4_4g,bench_lc_s22_c8,24,29.67,7207.45,241.98,242.62
results_dpv4_4g,bench_tp8ref_c16,64,26.27,11121.10,525.45,531.74
results_glm51,bench_c16,64,13.97,9688.37,1076.60,1075.17
results_glm51mtp,bench_mtp_c1,8,6.62,2136.04,135.44,129.42
results_glm51mtp,bench_mtp_c4,32,8.32,3903.79,445.24,444.17
results_glm51mtp,bench_plain_c1,8,4.18,2899.60,218.34,221.36
results_glm51mtp,bench_plain_c16,64,11.81,10854.14,1278.39,1248.27
results_glm51mtp,bench_plain_c4,32,7.76,6291.83,469.54,465.51
results_glmserve,bench_resident,64,226.45,836.97,64.42,63.80
results_glmserve,bench_s12,64,32.36,2961.70,474.31,487.90
results_glmserve,bench_s20,64,88.31,1485.41,170.58,174.97
results_mtp,bench_mtp_c1,8,5.87,1394.75,160.84,161.61
results_mtp,bench_mtp_c16,64,39.31,3988.25,370.67,376.29
results_mtp,bench_mtp_c4,16,18.54,2036.12,196.67,197.83
results_mtp,bench_plain_c1,8,6.02,831.90,160.74,159.66
results_mtp,bench_plain_c16,64,58.55,5666.64,230.29,230.84
results_mtp,bench_plain_c4,16,19.33,3260.66,182.61,170.40
results_mtp2,bench_mtp_c1,8,8.22,2136.20,105.74,103.54
results_mtp2,bench_mtp_c16,48,42.54,2449.51,350.85,351.11
results_mtp2,bench_mtp_c4,32,26.59,2064.73,133.85,126.22
results_mtp2,bench_plain_c1,8,4.92,4712.04,167.79,164.95
results_mtp2,bench_plain_c16,48,39.77,3420.60,378.35,365.61
results_mtp2,bench_plain_c4,32,18.02,6234.95,174.59,169.34
results_mtp3,bench_k2_c1,8,9.76,1509.88,91.41,89.65
results_mtp3,bench_k2_c4,32,28.64,1359.28,128.23,126.28
results_mtp3,bench_mtpk2_c1,16,8.60,1747.55,103.47,101.61
results_mtp3,bench_mtpk2_c4,32,25.31,1530.16,140.28,137.65
results_mtp3,bench_plain2_c1,16,5.54,1367.25,171.01,170.79
results_nonmla,bench_clf_c16,64,128.39,1488.11,113.85,112.80
results_nonmla,bench_clf_c32,96,170.00,1422.84,178.26,180.97
results_nonmla,bench_clf_c4,32,94.64,680.65,37.24,36.27
results_nonmla,bench_heur_c16,64,128.82,991.44,117.32,120.10
results_nonmla,bench_heur_c32,96,173.51,1410.59,174.55,170.49
results_nonmla,bench_heur_c4,32,113.07,514.68,31.60,30.32
results_nonmla2,bench_clf_pf05_c2_c2,24,65.82,363.92,27.76,27.28
results_nonmla2,bench_clf_pf05_c2_c4,32,105.89,421.53,34.75,32.94
results_nonmla2,bench_clf_pf07_c2,24,60.77,437.37,29.72,29.62
results_nonmla2,bench_clf_pf07_c4,32,97.27,652.56,36.31,36.17
results_nonmla2,bench_heur_pf07_c2,24,68.00,360.35,26.80,26.38
results_nonmla2,bench_heur_pf07_c4,32,110.99,454.22,32.74,31.61
results_pfsweep,bench_pf01_c16,64,138.13,1003.12,108.80,118.22
results_pfsweep,bench_pf01_c2,24,65.31,343.25,28.16,28.06
results_pfsweep,bench_pf01_c4,32,103.97,353.40,35.99,34.33
results_pfsweep,bench_pf03_c16,64,122.78,998.74,123.43,125.15
results_pfsweep,bench_pf03_c2,24,61.07,420.48,29.70,29.97
results_pfsweep,bench_pf03_c4,32,102.65,470.82,35.56,34.11
results_pfsweep,bench_resident_c16,64,655.81,157.76,23.30,23.21
results_pfsweep,bench_resident_c2,24,87.81,74.91,22.36,22.42
results_pfsweep,bench_resident_c4,32,172.28,89.03,22.70,22.67
results_r6,bench_s16,64,54.78,7183.52,237.30,238.98
results_r6,bench_s16u0.55,64,56.95,5906.17,236.11,236.08
results_r6,bench_s22u0.40,64,62.93,5535.27,212.14,212.00
results_r6,bench_s25u0.30,64,67.04,5184.34,199.18,199.12
results_refix,bench_long_c16,64,55.67,7193.95,232.47,232.57
results_refix,bench_long_c32,96,79.28,7232.10,348.93,357.60
results_refix,bench_short_c16,64,64.41,2019.85,234.39,229.87
