batch,config,slots,decode_tok_s,total_tok_s,pct_of_baseline,overflow,correct,status
1,resident,0,24.03,24.01,100.0,0,1,ok
8,resident,0,223.99,198.63,100.0,0,1,ok
1,slots,6,11.78,11.77,49.0,1,0,ok
8,slots,6,119.98,118.28,53.6,1,0,ok
1,slots,8,11.87,11.84,49.4,1,0,ok
8,slots,8,101.95,100.84,45.5,1,0,ok
1,slots,12,13.17,13.1,54.8,1,0,ok
8,slots,12,81.58,80.3,36.4,1,0,ok
1,slots,16,15.4,15.26,64.1,1,0,ok
8,slots,16,65.58,64.67,29.3,1,0,ok
1,slots,24,15.07,14.94,62.7,1,1,ok
8,slots,24,45.69,45.21,20.4,1,0,ok
1,slots,32,18.58,18.43,77.3,1,1,ok
8,slots,32,41.62,41.09,18.6,1,0,ok
1,slots,48,22.9,22.9,95.3,1,1,ok
8,slots,48,72.86,71.6,32.5,1,0,ok
1,slots,64,22.96,22.95,95.5,0,1,ok
8,slots,64,179.98,177.59,80.4,0,1,ok
