batch,config,slots,decode_tok_s,total_tok_s,pct_of_baseline,overflow,correct,status
1,resident,0,27.85,27.83,100.0,0,1,ok
2,resident,0,55.59,55.53,100.0,0,1,ok
4,resident,0,109.07,108.11,100.0,0,1,ok
8,resident,0,219.7,217.72,100.0,0,1,ok
1,slots,6,12.32,12.31,44.2,1,1,ok
2,slots,6,27.69,27.46,49.8,1,0,ok
4,slots,6,55.52,54.89,50.9,1,0,ok
8,slots,6,119.6,118.2,54.4,1,0,ok
1,slots,12,13.94,13.91,50.1,1,1,ok
2,slots,12,18.72,18.68,33.7,1,1,ok
4,slots,12,37.29,37.18,34.2,1,0,ok
8,slots,12,80.46,79.94,36.6,1,0,ok
1,slots,24,16.35,16.32,58.7,1,1,ok
2,slots,24,24.46,24.45,44.0,1,1,ok
4,slots,24,29.71,29.71,27.2,1,1,ok
8,slots,24,47.13,47.18,21.5,1,0,ok
1,slots,32,17.0,17.02,61.0,1,1,ok
2,slots,32,26.84,26.85,48.3,1,1,ok
4,slots,32,33.07,33.06,30.3,1,1,ok
8,slots,32,39.83,39.93,18.1,1,0,ok
1,slots,48,21.83,21.84,78.4,0,1,ok
2,slots,48,37.77,37.81,67.9,0,1,ok
4,slots,48,58.37,58.22,53.5,0,1,ok
8,slots,48,75.63,75.65,34.4,0,1,ok
1,slots,64,24.73,24.73,88.8,0,1,ok
2,slots,64,51.36,51.34,92.4,0,1,ok
4,slots,64,100.07,99.34,91.7,0,1,ok
8,slots,64,197.31,195.74,89.8,0,1,ok
