slots,batch,decode_tok_s,working_set,oom
2,1,4.50,1,0
2,8,28.91,6,0
2,16,60.73,12,0
4,1,4.72,1,0
4,8,20.95,6,0
4,16,41.53,12,0
6,1,5.42,1,0
6,8,21.43,6,0
6,16,39.64,12,0
8,1,4.61,1,0
8,8,20.14,6,0
8,16,29.44,12,0
10,1,5.03,1,0
10,8,21.12,6,0
10,16,27.67,12,0
12,1,5.41,1,0
12,8,24.42,6,0
12,16,31.64,12,0
16,1,4.98,1,0
16,8,27.11,6,0
16,16,35.27,12,0
20,1,5.31,1,0
20,8,30.10,6,0
20,16,41.72,12,0
24,1,5.65,1,0
24,8,32.53,6,0
24,16,47.27,12,0
28,1,5.44,1,0
28,8,35.78,6,0
28,16,54.39,12,0
32,1,0,12,1
32,8,0,12,1
32,16,0,12,1
36,1,0,12,1
36,8,0,12,1
36,16,0,12,1
